scenario,year,variable,scvr
rcp45,2041,pr,0.7499746249592206
rcp45,2041,sfcWind,0.7726273219648151
rcp45,2041,hurs,0.9984844236083343
rcp45,2042,tas,0.7405723769992247
rcp45,2042,tasmax,0.6043396398566306
rcp45,2042,tasmin,0.9318162762692037
rcp45,2042,pr,0.742701019941732
rcp45,2042,sfcWind,0.7761762302870956
rcp45,2042,hurs,0.995811760884059
rcp45,2043,tas,0.7427061610809311
rcp45,2043,tasmax,0.6056878051037263
rcp45,2043,tasmin,0.9341388575276333
rcp45,2043,pr,0.7415148637877809
rcp45,2043,sfcWind,0.7736358836984978
rcp45,2043,hurs,1.002991116103006
rcp45,2044,tas,0.7417773652137106
rcp45,2044,tasmax,0.6100175801766674
rcp45,2044,tasmin,0.9345056699682673
rcp45,2044,pr,0.7430613129385876
rcp45,2044,sfcWind,0.77978482592892
rcp45,2044,hurs,0.9998339707871554
rcp45,2045,tas,0.7413817432716875
rcp45,2045,tasmax,0.6051076736527311
rcp45,2045,tasmin,0.9314885395189227
rcp45,2045,pr,0.7530273936310671
rcp45,2045,sfcWind,0.7798165852678179
rcp45,2045,hurs,0.9975720891310187
rcp45,2046,tas,0.7423517114773849
rcp45,2046,tasmax,0.6081641326541438
rcp45,2046,tasmin,0.9375504881771041
rcp45,2046,pr,0.7433003803634802
rcp45,2046,sfcWind,0.7734120327116606
rcp45,2046,hurs,1.0026385827730322
rcp45,2047,tas,0.7382525284223738
rcp45,2047,tasmax,0.6079221836054793
rcp45,2047,tasmin,0.9379767329950647
rcp45,2047,pr,0.747152987307033
rcp45,2047,sfcWind,0.7779541752429254
rcp45,2047,hurs,0.9941823240353787
rcp45,2048,tas,0.7421039431773202
rcp45,2048,tasmax,0.6070897922132511
rcp45,2048,tasmin,0.9352695490794005
rcp45,2048,pr,0.7507745848501127
rcp45,2048,sfcWind,0.7768336167479459
rcp45,2048,hurs,1.0024693044169528
rcp45,2049,tas,0.7395924215789788
rcp45,2049,tasmax,0.6055094720063655
rcp45,2049,tasmin,0.9372421411313544
rcp45,2049,pr,0.7398161301690446
rcp45,2049,sfcWind,0.7768213540727692
rcp45,2049,hurs,0.999861829219883
rcp45,2050,tas,0.7397995155191038
rcp45,2050,tasmax,0.6077578150377327
rcp45,2050,tasmin,0.9377533883369116
rcp45,2050,pr,0.7454628535223337
rcp45,2050,sfcWind,0.7719920711541899
rcp45,2050,hurs,0.9949352236833727
